"";"ssec ";"sfree ";"tsec ";"tfree ";"institution_trust_5 ";"active_soc_media ";"finan ";"micronarratives ";"mainstream ";"micronarratives_ag ";"mainstream_ag ";"mainstreamlikes ";"microlikes ";"mainstreamdislikes ";"microdislikes ";"man_eff ";"man_acc "
"ssec";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"sfree";" 0.72***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tsec";" 0.10   ";" 0.03   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"tfree";" 0.08   ";" 0.02   ";" 0.69***";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";"";""
"institution_trust_5";"-0.00   ";"-0.07   ";" 0.00   ";"-0.01   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";"";""
"active_soc_media";"-0.01   ";"-0.07   ";" 0.14   ";" 0.15*  ";" 0.12   ";" 1.00   ";"";"";"";"";"";"";"";"";"";"";""
"finan";"-0.25** ";"-0.19*  ";"-0.10   ";"-0.12   ";" 0.13   ";" 0.17*  ";" 1.00   ";"";"";"";"";"";"";"";"";"";""
"micronarratives";" 0.12   ";" 0.07   ";" 0.12   ";" 0.14   ";"-0.08   ";" 0.06   ";"-0.07   ";" 1.00   ";"";"";"";"";"";"";"";"";""
"mainstream";"-0.06   ";"-0.17*  ";" 0.19*  ";" 0.16*  ";" 0.28***";" 0.08   ";" 0.09   ";" 0.35***";" 1.00   ";"";"";"";"";"";"";"";""
"micronarratives_ag";" 0.22** ";" 0.22** ";" 0.10   ";" 0.12   ";"-0.27***";" 0.04   ";" 0.01   ";" 0.72***";" 0.01   ";" 1.00   ";"";"";"";"";"";"";""
"mainstream_ag";"-0.09   ";"-0.24** ";" 0.19*  ";" 0.19*  ";" 0.36***";" 0.15   ";" 0.23** ";" 0.13   ";" 0.72***";"-0.11   ";" 1.00   ";"";"";"";"";"";""
"mainstreamlikes";"-0.10   ";"-0.17*  ";" 0.10   ";" 0.12   ";" 0.40***";" 0.17*  ";" 0.25** ";" 0.05   ";" 0.40***";"-0.15   ";" 0.52***";" 1.00   ";"";"";"";"";""
"microlikes";" 0.04   ";" 0.03   ";" 0.08   ";" 0.12   ";" 0.03   ";" 0.17*  ";" 0.17*  ";" 0.35***";" 0.01   ";" 0.40***";"-0.01   ";" 0.34***";" 1.00   ";"";"";"";""
"mainstreamdislikes";" 0.06   ";" 0.18*  ";"-0.03   ";"-0.03   ";"-0.28***";" 0.04   ";"-0.02   ";"-0.05   ";"-0.47***";" 0.11   ";"-0.52***";"-0.32***";" 0.17*  ";" 1.00   ";"";"";""
"microdislikes";"-0.16*  ";"-0.13   ";" 0.04   ";" 0.06   ";" 0.18*  ";" 0.12   ";" 0.10   ";"-0.35***";"-0.06   ";"-0.44***";" 0.19*  ";" 0.28***";"-0.24** ";" 0.08   ";" 1.00   ";"";""
"man_eff";"-0.24** ";"-0.38***";" 0.11   ";" 0.11   ";" 0.35***";" 0.17*  ";" 0.24** ";"-0.06   ";" 0.45***";"-0.25** ";" 0.58***";" 0.51***";" 0.01   ";"-0.42***";" 0.18*  ";" 1.00   ";""
"man_acc";"-0.27***";"-0.42***";" 0.17*  ";" 0.18*  ";" 0.42***";" 0.20*  ";" 0.13   ";"-0.05   ";" 0.44***";"-0.28***";" 0.64***";" 0.54***";" 0.05   ";"-0.47***";" 0.17*  ";" 0.73***";" 1.00   "
